created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,PM2.5_ATM_ug/m3
2019-08-04 02:00:00 UTC,17.57,28,29.67,1081,-92.03,27.76
2019-08-04 03:00:00 UTC,19.85,31.26,32.97,1141.03,-92.07,30.15
2019-08-04 04:00:00 UTC,27.98,43.28,45.75,1201.47,-92.07,37.35
2019-08-04 05:00:00 UTC,48.78,76.09,81.21,1262,-92.37,51.7
2019-08-04 06:00:00 UTC,50.9,76.89,81.38,1322.07,-92.07,52.64
2019-08-04 07:00:00 UTC,44.19,67.97,72.22,1382,-91.8,48.99
2019-08-04 08:00:00 UTC,35.35,52.29,54.96,1442,-92.07,41.83
2019-08-04 09:00:00 UTC,31.62,48.61,51.07,1502,-92.07,40.39
2019-08-04 10:00:00 UTC,31.74,45.8,47.98,1562.03,-92.77,38.58
2019-08-04 11:00:00 UTC,25.66,36.74,38.51,1622.03,-91.9,33.28
2019-08-04 12:00:00 UTC,23.76,33.44,34.76,1680.22,-93,30.86
2019-08-04 13:00:00 UTC,18.17,26,26.96,1740.93,-92.8,25.39
2019-08-04 14:00:00 UTC,20.65,29.1,30.28,1801,-92.53,27.89
2019-08-04 15:00:00 UTC,22.82,33.13,34.62,1861,-91.37,31.18
2019-08-04 16:00:00 UTC,23.35,33.34,34.68,1921,-91.8,31.27
2019-08-04 17:00:00 UTC,33.41,46.5,48.44,1981.13,-92.37,38.87
2019-08-04 18:00:00 UTC,33.76,47.39,49.2,2041,-91.7,39.53
2019-08-04 19:00:00 UTC,30.91,45.19,47.29,2101.1,-91.9,38.42
2019-08-04 20:00:00 UTC,27.84,41.33,43.32,2161.07,-91.4,36.27
2019-08-04 21:00:00 UTC,28.76,41.34,43.12,2220.34,-91.72,36.02
2019-08-04 22:00:00 UTC,22.83,34.72,36.48,2281.17,-91.45,32.42
2019-08-04 23:00:00 UTC,22.78,34.49,36.37,2341.17,-91.31,32.25
2019-08-05 00:00:00 UTC,18.31,28.31,29.77,2401.1,-92,27.89
2019-08-05 01:00:00 UTC,19.23,29.84,31.38,2461.13,-92.23,28.99
2019-08-05 02:00:00 UTC,20.2,30.68,32.07,2521.23,-93.2,29.4
2019-08-05 03:00:00 UTC,18.43,28.35,29.79,2581.2,-92.5,27.9
2019-08-05 04:00:00 UTC,24.1,36.6,38.41,2641.17,-92.63,33.45
2019-08-05 05:00:00 UTC,35.39,49.49,51.55,2700.97,-91.86,40.5
2019-08-05 06:00:00 UTC,46.57,66.32,69.44,2761,-92.4,48.82
2019-08-05 07:00:00 UTC,44.56,64.38,67.59,2821,-92.8,47.43
2019-08-05 08:00:00 UTC,30.95,44.26,46.28,2881,-92.7,37.78
2019-08-05 09:00:00 UTC,27.08,38.35,39.83,2941,-92.37,34.34
2019-08-05 10:00:00 UTC,26.1,36.6,38.04,3001,-92.4,32.98
2019-08-05 11:00:00 UTC,19.49,27.82,28.91,3061,-92,26.98
2019-08-05 12:00:00 UTC,26.67,36.61,37.91,3121,-91.17,32.85
2019-08-05 13:00:00 UTC,21.52,29.29,30.23,3181,-90.33,27.79
2019-08-05 14:00:00 UTC,19.57,27.3,28.42,3241,-90.83,26.49
2019-08-05 15:00:00 UTC,22.47,31.83,33.09,3301.03,-91.17,30.22
2019-08-05 16:00:00 UTC,23.83,33.54,34.85,3361,-91.53,31.15
2019-08-05 17:00:00 UTC,29.9,43.75,45.68,3421,-91.27,37.42
2019-08-05 18:00:00 UTC,30.53,43.68,45.59,3481,-90.4,37.29
2019-08-05 19:00:00 UTC,32.77,46.95,48.96,3541,-91.37,39.09
2019-08-05 20:00:00 UTC,30.91,44.4,46.36,3601,-92.2,37.82
2019-08-05 21:00:00 UTC,22.25,32.72,34.08,3661,-91.2,30.63
2019-08-05 22:00:00 UTC,25.48,38.58,40.41,3721,-91.03,34.02
2019-08-05 23:00:00 UTC,23.04,34.86,36.74,3781,-91.47,31.86
2019-08-06 00:00:00 UTC,20.53,32.06,33.9,3841,-90.47,29.71
2019-08-06 01:00:00 UTC,15.99,24.5,25.75,3901,-90.77,24.2
2019-08-06 02:00:00 UTC,14.17,22.45,23.52,3961,-90.4,22.44
2019-08-06 03:00:00 UTC,16.33,25.17,26.36,4021,-91.53,24.92
2019-08-06 04:00:00 UTC,22.55,32.81,34.23,4081,-90.93,30.92
2019-08-06 05:00:00 UTC,36.56,51.23,53.38,4141.03,-91.83,41.54
2019-08-06 06:00:00 UTC,36.43,52.25,54.57,4201.07,-91.6,41.88
